Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2016-09-07,117.92,17532760,117.95,118.12,117.47,0.5518061038244456,117.23,11.89,11.94,5.615194054500411
2016-09-06,117.85,18502030,117.29,117.85,117.06,0.6725980162615403,117.92,12.42,12.02,8.716707021791768
2016-09-02,117.12,18082250,117.32,117.56,116.68,0.7513661202185753,117.85,13.47,11.98,15.503875968992247
2016-09-01,116.74,20936680,116.48,116.88,115.91,0.8333691309764156,117.12,13.07,13.48,11.739130434782602
2016-08-31,116.44,16068760,116.38,116.56,115.95,0.5247086146832389,116.74,13.14,13.42,10.032954961552539
2016-08-30,116.56,19837040,116.73,117.09,116.16,0.7974276527331249,116.44,12.94,13.12,6.8441064638783295
2016-08-29,116.94,11174780,116.81,117.251,116.79,0.39394806892809253,116.56,14.09,12.94,11.196487376509326
2016-08-26,116.78,23889340,116.66,117.54,116.08,1.2498929886139953,116.94,13.54,13.65,20.694752402069465
2016-08-25,116.61,24245320,116.48,116.97,116.36,0.5228646123516045,116.78,13.62,13.63,5.8436815193572
2016-08-24,116.8,17660140,117.49,117.64,116.41,1.0510574663533465,116.61,12.7,13.45,12.998859749144803
2016-08-23,117.56,11960470,117.79,118.0095,117.51,0.4241686994070535,116.8,12.15,12.38,5.960264900662242
2016-08-22,117.35,14496500,117.09,117.55,116.87,0.5801552768535044,117.56,12.53,12.27,8.653846153846153
2016-08-19,117.26,18719840,117.1,117.52,116.76,0.6487963121051655,117.35,11.67,11.34,8.047437526471828
2016-08-18,117.29,10024100,117.15,117.46,116.945,0.4394104221326342,117.26,12.2,11.43,9.269311064718158
2016-08-17,117.26,15968490,117.08,117.3,116.43,0.7444487228853722,117.29,12.57,12.19,12.147001934235977
2016-08-16,117.05,14139090,117.47,117.49,117.03,0.3922906361930699,117.26,12.04,12.64,7.383367139959433
2016-08-15,117.7,11765700,117.33,117.97,117.31,0.5610336620197183,117.05,11.81,11.81,4.9684210526315775
2016-08-12,117.2,19362370,116.91,117.21,116.79,0.3589743589743483,117.7,11.61,11.55,6.185567010309283
2016-08-11,117.12,12952730,117.01,117.37,116.78,0.5039504591074127,117.2,11.93,11.68,6.2154108131119505
2016-08-10,116.62,14677300,116.96,117.02,116.31,0.6085801225731743,117.12,11.55,12.05,9.467951403435283
2016-08-09,116.92,13244990,116.73,117.29,116.67,0.5300051290818982,116.62,11.4,11.66,7.846556233653011
2016-08-08,116.65,12345510,116.82,116.87,116.28,0.5061119450997241,116.92,11.66,11.5,3.191030616645099
2016-08-05,116.78,23182600,116.28,117.04,116.13,0.7805463824677366,116.65,12.08,11.39,9.215017064846418
2016-08-04,115.67,12816780,115.32,115.78,115.03,0.6498851869503055,116.78,12.73,12.42,9.608397254743652
2016-08-03,115.34,14990240,114.88,115.35,114.8005,0.47751362695279376,115.67,13.53,12.86,8.858858858858856
2016-08-02,114.96,21251930,115.68,115.77,114.22,1.347884690638721,115.34,12.39,13.37,14.215870628055665
2016-08-01,115.84,13947800,115.31,118.7799,115.17,3.086045345606043,114.96,11.89,12.44,9.01771336553946
2016-07-29,115.23,22119110,115.24,115.54,114.87,0.5815719803827973,115.84,12.85,11.87,9.160924199432515
2016-07-28,114.98,16841290,114.76,115.11,114.4,0.6187094244259456,115.23,12.51,12.72,8.964451313755797
2016-07-27,114.58,27596840,114.76,114.88,114.1,0.681282208053106,114.98,12.61,12.83,9.451219512195124
2016-07-26,113.79,21081370,113.63,114.2,113.22,0.8618415266907079,114.58,12.88,13.05,5.323193916349804
2016-07-25,113.66,12959550,113.56,113.69,113.28,0.36128122659382,113.79,12.64,12.87,10.187667560321717
2016-07-22,113.65,19995410,113.28,113.78,112.911,0.7666824002717353,113.66,12.8,12.02,7.323943661971832
2016-07-21,113.18,18784020,113.52,113.74,112.87,0.7678390185781654,113.65,11.8,12.74,11.070707070707078
2016-07-20,113.44,24957930,112.75,113.65,112.6,0.9281767955801206,113.18,11.94,11.77,4.878048780487807
2016-07-19,112.13,18905970,112.17,112.48,111.93,0.4901742346597719,113.44,12.53,11.97,7.186112232539367
2016-07-18,112.54,20687500,111.86,112.74,111.85,0.7925553230330831,112.13,12.75,12.44,6.2082514734774
2016-07-15,111.8,17392410,112.22,112.3,111.55,0.6700915791824883,112.54,13.12,12.67,7.4539034915653275
2016-07-14,111.98,20767830,111.96,112.19,111.7,0.4377149493054579,111.8,12.5,12.82,9.643277146217159
2016-07-13,111.22,21006820,111.79,111.82,111.21,0.547011612787517,111.98,13.32,13.04,6.514414077124667
2016-07-12,111.49,21876260,111.59,111.79,111.34,0.40335230583068415,111.22,12.93,13.55,8.845577211394302
2016-07-11,110.93,20197270,110.68,111.335,110.66,0.6081218045451449,111.49,13.25,13.54,5.024371953505811
2016-07-08,110.3,29441300,109.17,110.36,109.02,1.2216245783571917,110.93,14.64,13.2,11.16678596993558
2016-07-07,108.62,19113990,108.39,108.86,108.11,0.6913398165645019,110.3,14.8,14.76,10.887495875948533
2016-07-06,108.3,24521290,106.92,108.35,106.57,1.6564302996463813,108.62,15.87,14.96,12.99999999999999
2016-07-05,107.42,21144150,107.58,107.66,106.84,0.7645687645687582,108.3,16.05,15.58,7.03830582373093
2016-07-01,108.08,19891980,107.49,108.48,107.45,0.9540128745426769,107.42,15.59,14.77,8.204791598293404
2016-06-30,107.54,35806260,106.52,107.61,106.13,1.384860110414526,108.08,16.91,15.63,10.532837670384133
2016-06-29,106.31,31245590,105.26,106.53,105.23100000000001,1.2268548032923836,107.54,18.12,16.64,10.30215827338129
2016-06-28,104.46,28099980,103.33,104.51,103.3,1.1645252875222636,106.31,21.76,18.75,16.26653601175894
2016-06-27,102.22,49953310,103.6,103.6,101.75,1.8018018018017963,104.46,24.38,23.85,15.266868076535747
2016-06-24,104.29,67958850,104.81,106.5,104.06,2.317629179331305,102.22,26.06,25.76,29.571303587051613
2016-06-23,108.77,18539890,108.09,108.79,107.62,1.0812809019915914,104.29,19.54,17.25,13.714902807775372
2016-06-22,107.24,22635350,107.58,108.19,107.15,0.9659143679762162,108.77,18.26,21.17,17.362355953905254
2016-06-21,107.5,22663200,107.33,107.715,107.1,0.5725857132881867,107.24,17.67,18.48,11.430164482854757
2016-06-20,107.16,20496310,107.73,108.24,107.08,1.0774660969719456,107.5,17.42,18.37,11.155378486055783
2016-06-17,106.49,28831680,107.53,107.6819,106.24,1.348062073121082,107.16,19.42,19.41,6.814661848218896
